,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.551932791582099,5.524708620453111,2.02837113071125
1,-20.0,-5.551932791582099,3.0785983794091942,-0.2552552404589227
2,-15.0,-5.551932791582099,0.723157887007766,-2.255177637902706
3,-10.0,-5.551932791582099,-1.433477454703695,-3.8146017462617787
4,-5.0,-5.551932791582099,-3.19230829064416,-4.762456732906281
5,0.0,-5.551932791582099,-4.41956622377597,-5.242080522635719
6,5.0,-5.551932791582099,-5.086403062065397,-5.431931102857874
7,10.0,-5.551932791582099,-5.373459175918931,-5.487652358036152
8,15.0,-5.551932791582099,-5.495537445340267,-5.524187558100969
9,20.0,-5.551932791582099,-5.519879361331775,-5.515548876654851
