,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.564511097918964,5.522015848618662,-1.9974777929468523
1,-20.0,-5.564511097918964,3.076903111319896,-2.07875764546713
2,-15.0,-5.564511097918964,0.7196383938383005,-2.308150629733414
3,-10.0,-5.564511097918964,-1.4301861913341738,-2.8100295150303722
4,-5.0,-5.564511097918964,-3.196750430947488,-3.625137302101497
5,0.0,-5.564511097918964,-4.418941518818903,-4.497395335609834
6,5.0,-5.564511097918964,-5.10185377583467,-5.1072677644731
7,10.0,-5.564511097918964,-5.388547780759615,-5.389997433984062
8,15.0,-5.564511097918964,-5.508572842819538,-5.51172095170084
9,20.0,-5.564511097918964,-5.542520759668442,-5.548490161366253
