,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-14.612505703457915,-0.29508065713949644,-3.8707372623464833
1,-20.0,-14.612505703457915,-2.773557737773534,-6.3033782409426395
2,-15.0,-14.612505703457915,-5.234291412426871,-8.647675398969238
3,-10.0,-14.612505703457915,-7.639276382324651,-10.803674001282504
4,-5.0,-14.612505703457915,-9.894752676433756,-12.448050083556616
5,0.0,-14.612505703457915,-11.825757306525382,-13.368662303715851
6,5.0,-14.612505703457915,-13.236016380274606,-13.895312490034819
7,10.0,-14.612505703457915,-14.130536847601611,-14.205405323420672
8,15.0,-14.612505703457915,-14.376339812002556,-14.175469437340606
9,20.0,-14.612505703457915,-14.482045886729507,-14.176542750488634
