,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-8.802972102968042,5.5908663221354615,-1.377491971799036
1,-20.0,-8.802972102968042,3.0665147272698827,-2.1606731478485077
2,-15.0,-8.802972102968042,0.5458984102803437,-3.3691240579558377
3,-10.0,-8.802972102968042,-1.90318395516933,-5.273672823330316
4,-5.0,-8.802972102968042,-4.176780613308456,-6.8979123937168465
5,0.0,-8.802972102968042,-6.103768979917875,-7.775910229317059
6,5.0,-8.802972102968042,-7.5651426554007095,-8.41016898429305
7,10.0,-8.802972102968042,-8.33637315027385,-8.693653962904339
8,15.0,-8.802972102968042,-8.456313848472472,-8.71546254825464
9,20.0,-8.802972102968042,-8.823802278759187,-8.978394867838697
