,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-14.94114961109476,-0.27649819270214876,-0.2884800022960673
1,-20.0,-14.94114961109476,-2.759636811068873,-2.745541272029163
2,-15.0,-14.94114961109476,-5.222509432023657,-5.2517867860311345
3,-10.0,-14.94114961109476,-7.653959388966076,-7.665374688286192
4,-5.0,-14.94114961109476,-9.930592243247427,-9.940408762320171
5,0.0,-14.94114961109476,-11.935440361725018,-11.921466704618691
6,5.0,-14.94114961109476,-13.32745375699104,-13.33530517745685
7,10.0,-14.94114961109476,-14.11974041105748,-14.135688607745001
8,15.0,-14.94114961109476,-14.451689004851422,-14.447720880632408
9,20.0,-14.94114961109476,-14.674389992358481,-14.675067125928722
