,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-8.803120656701433,5.565471316421773,-0.26728518127154816
1,-20.0,-8.803120656701433,3.06156364170172,-1.1817546706085595
2,-15.0,-8.803120656701433,0.6005498098741333,-1.6900730997691862
3,-10.0,-8.803120656701433,-1.8616655050109467,-2.831139424912217
4,-5.0,-8.803120656701433,-4.134091259649263,-4.416214721052435
5,0.0,-8.803120656701433,-6.057913885089112,-6.117453626712351
6,5.0,-8.803120656701433,-7.527491038624582,-7.57134016095074
7,10.0,-8.803120656701433,-8.155227097553762,-8.276044871650663
8,15.0,-8.803120656701433,-8.623831335341418,-8.829070345495051
9,20.0,-8.803120656701433,-8.57441248128443,-8.806152627828732
