,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-2.6717825599838605,5.052018858734925,5.054473371849577
1,-20.0,-2.6717825599838605,2.729166120669839,2.723768601954868
2,-15.0,-2.6717825599838605,0.6991251269235679,0.6916218717743716
3,-10.0,-2.6717825599838605,-0.8081005245946666,-0.8032995097428898
4,-5.0,-2.6717825599838605,-1.683550725747804,-1.684995457744223
5,0.0,-2.6717825599838605,-2.1420370380976643,-2.14005748105988
6,5.0,-2.6717825599838605,-2.3959497091673616,-2.397105571260651
7,10.0,-2.6717825599838605,-2.5138953716185464,-2.5130795395255885
8,15.0,-2.6717825599838605,-2.5731532501420458,-2.573176802602282
9,20.0,-2.6717825599838605,-2.6157658374307324,-2.6153848479908026
