,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-2.657790828223213,5.048788335289506,4.370369754895153
1,-20.0,-2.657790828223213,2.7325256290951483,2.518236966711187
2,-15.0,-2.657790828223213,0.6851631586750386,0.6514842695678279
3,-10.0,-2.657790828223213,-0.8078842514519895,-0.8101754870905454
4,-5.0,-2.657790828223213,-1.6594406722575263,-1.6690866071905783
5,0.0,-2.657790828223213,-2.1208346939147464,-2.1187151449232626
6,5.0,-2.657790828223213,-2.3719731602212377,-2.3780983560243825
7,10.0,-2.657790828223213,-2.5106868315099904,-2.5101106221479124
8,15.0,-2.657790828223213,-2.580869334005405,-2.582693147330966
9,20.0,-2.657790828223213,-2.599364724773259,-2.6000101010389414
