,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-16.109871238717076,3.9331728743190686,0.3259951268457679
1,-20.0,-16.109871238717076,1.4206806584400224,-2.1553865576935913
2,-15.0,-16.109871238717076,-1.0794418216428738,-4.65139805434485
3,-10.0,-16.109871238717076,-3.5989719186571345,-7.137707346117103
4,-5.0,-16.109871238717076,-6.067189579737695,-9.548312384130815
5,0.0,-16.109871238717076,-8.512938934603193,-11.842535638769863
6,5.0,-16.109871238717076,-10.894179106909448,-13.751675651454917
7,10.0,-16.109871238717076,-12.978840548804786,-14.984719259022345
8,15.0,-16.109871238717076,-14.614906204314089,-15.57878903147146
9,20.0,-16.109871238717076,-15.54723647976334,-15.881012461900818
