,SNR,"GradBoost, Noiseless","GradBoost, Non-Robust","GradBoost, Robust"
0,-25.0,-19.285158096773454,15.950951860250234,4.888038148216512
1,-20.0,-19.285158096773454,13.488188122800079,2.4960101671153403
2,-15.0,-19.285158096773454,10.982768981449016,0.20359013576785223
3,-10.0,-19.285158096773454,8.474755153440602,-1.872308319903115
4,-5.0,-19.285158096773454,5.982512913964375,-3.6087871307339796
5,0.0,-19.285158096773454,3.5008365973049265,-4.561222950530262
6,5.0,-19.285158096773454,0.972170331963691,-5.255963890131582
7,10.0,-19.285158096773454,-1.510439007211037,-6.640751329918785
8,15.0,-19.285158096773454,-4.006672161289422,-8.684547087653279
9,20.0,-19.285158096773454,-6.501254540266009,-10.96083869573106
