,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-3.1706793392879513,8.08153523810406,2.9088839596635667
1,-20.0,-3.1706793392879513,5.009110362628642,0.673217381823471
2,-15.0,-3.1706793392879513,3.6944147931441367,-1.137304842408681
3,-10.0,-3.1706793392879513,0.8225113816668397,-2.321343726771459
4,-5.0,-3.1706793392879513,-0.9131942666859287,-2.9037826458976768
5,0.0,-3.1706793392879513,-2.331786463895642,-3.0146120634382374
6,5.0,-3.1706793392879513,-2.6537436766134315,-3.1010827505227008
7,10.0,-3.1706793392879513,-2.9676798435030243,-3.2452595431363167
8,15.0,-3.1706793392879513,-3.163383501400963,-3.290281913219211
9,20.0,-3.1706793392879513,-3.136012389469927,-3.292067436694339
