,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-13.002219726030438,0.6968061597256865,-2.8870010954421583
1,-20.0,-13.002219726030438,-1.7749045599667113,-5.335591539030599
2,-15.0,-13.002219726030438,-4.272711474344558,-7.6858733063409845
3,-10.0,-13.002219726030438,-6.715980337832325,-9.849731297325214
4,-5.0,-13.002219726030438,-8.933726666219025,-11.259350985543383
5,0.0,-13.002219726030438,-10.880419366280803,-12.32194242675389
6,5.0,-13.002219726030438,-12.18003717144583,-12.711073840051894
7,10.0,-13.002219726030438,-12.819742571784133,-12.888327396836177
8,15.0,-13.002219726030438,-13.078031852818729,-12.798456552457967
9,20.0,-13.002219726030438,-13.200715373820174,-13.028723790074071
