,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-12.946590410984166,0.9676214936316792,-2.97427902042506
1,-20.0,-12.946590410984166,-1.1798940828370377,-5.41460563769955
2,-15.0,-12.946590410984166,-3.827670112606077,-7.781659809494278
3,-10.0,-12.946590410984166,-5.998153165293462,-9.872780963252817
4,-5.0,-12.946590410984166,-8.358832581942384,-11.40670457191547
5,0.0,-12.946590410984166,-10.415701945931842,-12.240116165702696
6,5.0,-12.946590410984166,-11.592933372320296,-12.623811652349268
7,10.0,-12.946590410984166,-12.22578976201551,-12.666518010618478
8,15.0,-12.946590410984166,-12.556976932186343,-12.740141107114916
9,20.0,-12.946590410984166,-12.81460748415283,-13.045113034543839
