,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-16.056472008675453,3.9440584303760002,3.936527400391603
1,-20.0,-16.056472008675453,1.4181825151258274,1.433293108074985
2,-15.0,-16.056472008675453,-1.077777908749904,-1.0877233264157429
3,-10.0,-16.056472008675453,-3.556912967383463,-3.5722780387269393
4,-5.0,-16.056472008675453,-6.040434765957166,-6.054705144584727
5,0.0,-16.056472008675453,-8.509166881749369,-8.503051709198813
6,5.0,-16.056472008675453,-10.876677391743959,-10.885034550368744
7,10.0,-16.056472008675453,-12.993795308005463,-12.988151242566232
8,15.0,-16.056472008675453,-14.502970650250793,-14.516617399454397
9,20.0,-16.056472008675453,-15.405674485406847,-15.407867021614816
