,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-3.1982436104138405,6.501997220429825,6.50270571108802
1,-20.0,-3.1982436104138405,4.053748512309811,4.0555703054227905
2,-15.0,-3.1982436104138405,1.7165386941012348,1.7147907341697486
3,-10.0,-3.1982436104138405,-0.3496659339782701,-0.3481036811040026
4,-5.0,-3.1982436104138405,-1.862507418425953,-1.8652035163556335
5,0.0,-3.1982436104138405,-2.720071406940774,-2.7210419007551345
6,5.0,-3.1982436104138405,-3.008892444618354,-3.0078217690713065
7,10.0,-3.1982436104138405,-3.1663301098487673,-3.165152327131559
8,15.0,-3.1982436104138405,-3.2606798693518075,-3.260608350527689
9,20.0,-3.1982436104138405,-3.2385585361239606,-3.238201209824974
