,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-17.753630109399637,4.590709609847298,-2.2325017294106884
1,-20.0,-17.753630109399637,2.106165924948866,-2.3050381609389508
2,-15.0,-17.753630109399637,-0.42276167326757497,-2.7365526575253636
3,-10.0,-17.753630109399637,-2.896347521020309,-3.96814528698803
4,-5.0,-17.753630109399637,-5.426848940829801,-5.514496180678971
5,0.0,-17.753630109399637,-7.881866548006588,-7.880980650332815
6,5.0,-17.753630109399637,-10.308663660262843,-10.349310928695338
7,10.0,-17.753630109399637,-12.693307964681434,-12.659826008147718
8,15.0,-17.753630109399637,-14.665902319819285,-14.655227096413485
9,20.0,-17.753630109399637,-16.245782482858054,-16.235046893278586
