,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.539312427484932,5.52512876289533,-1.9958160606454434
1,-20.0,-5.539312427484932,3.076992123534406,-2.0798079089289567
2,-15.0,-5.539312427484932,0.7209010952156046,-2.306936450986946
3,-10.0,-5.539312427484932,-1.4306344982733312,-2.8089706582089766
4,-5.0,-5.539312427484932,-3.1872079702476435,-3.6140668817720965
5,0.0,-5.539312427484932,-4.413623652953892,-4.491105550763063
6,5.0,-5.539312427484932,-5.081599139422695,-5.083773403508668
7,10.0,-5.539312427484932,-5.377978045173819,-5.374851684145988
8,15.0,-5.539312427484932,-5.48087947191738,-5.483356398140301
9,20.0,-5.539312427484932,-5.549678850895869,-5.5543958334385914
