,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.553470059849963,5.525922703632414,2.0301712663128475
1,-20.0,-5.553470059849963,3.080617723996993,-0.2529104401702519
2,-15.0,-5.553470059849963,0.7228776331763503,-2.2539285206961064
3,-10.0,-5.553470059849963,-1.422087328974063,-3.789782813004188
4,-5.0,-5.553470059849963,-3.197515553822095,-4.762610826320111
5,0.0,-5.553470059849963,-4.403067401740916,-5.206045092641144
6,5.0,-5.553470059849963,-5.091220046478365,-5.438769944626582
7,10.0,-5.553470059849963,-5.394908389232816,-5.500520123520415
8,15.0,-5.553470059849963,-5.481683635672344,-5.489121105355955
9,20.0,-5.553470059849963,-5.525419995000464,-5.502891379923637
