,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.567229446482483,5.523750763754961,-1.9957648425674266
1,-20.0,-5.567229446482483,3.079026260822672,-2.0792635286503938
2,-15.0,-5.567229446482483,0.72194112821964,-2.304727603003491
3,-10.0,-5.567229446482483,-1.429272491055054,-2.807785360729194
4,-5.0,-5.567229446482483,-3.200650618007297,-3.6256912756691086
5,0.0,-5.567229446482483,-4.413852638260625,-4.499429116277344
6,5.0,-5.567229446482483,-5.091430374887684,-5.09815671814351
7,10.0,-5.567229446482483,-5.391995964304819,-5.39265891355217
8,15.0,-5.567229446482483,-5.494484406861888,-5.496822626134456
9,20.0,-5.567229446482483,-5.535860150059198,-5.5405946859114374
