,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-5.545207769846265,5.524240059812453,-1.996827685428093
1,-20.0,-5.545207769846265,3.0784548138864847,-2.0775707812052207
2,-15.0,-5.545207769846265,0.7250238258488892,-2.304455727376044
3,-10.0,-5.545207769846265,-1.4312357669488749,-2.809499918328118
4,-5.0,-5.545207769846265,-3.193176132960062,-3.6298427934172843
5,0.0,-5.545207769846265,-4.41743043833659,-4.499729958290508
6,5.0,-5.545207769846265,-5.0973423944524,-5.09875042541001
7,10.0,-5.545207769846265,-5.391286009399863,-5.391792217250031
8,15.0,-5.545207769846265,-5.490331095968827,-5.492790226586457
9,20.0,-5.545207769846265,-5.557957995243448,-5.562806237522947
