,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-12.839063915672693,0.7092067923119296,-2.892174150872002
1,-20.0,-12.839063915672693,-1.7939179333432977,-5.3054013300930425
2,-15.0,-12.839063915672693,-4.260377349060463,-7.691884494542282
3,-10.0,-12.839063915672693,-6.667826236735089,-9.827345613210758
4,-5.0,-12.839063915672693,-8.91717450098537,-11.315911675643706
5,0.0,-12.839063915672693,-10.779837499862484,-12.094627701797753
6,5.0,-12.839063915672693,-11.955506023385166,-12.47725065613536
7,10.0,-12.839063915672693,-12.432116254402128,-12.426523235908887
8,15.0,-12.839063915672693,-12.918558678422876,-12.875912749153535
9,20.0,-12.839063915672693,-12.762745655737804,-12.503610990616691
