,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-13.226529408685785,0.7071600063445214,0.7209310982205428
1,-20.0,-13.226529408685785,-1.7907335560236446,-1.79726199243889
2,-15.0,-13.226529408685785,-4.266546036985997,-4.269504120575353
3,-10.0,-13.226529408685785,-6.705639971645053,-6.694753272651913
4,-5.0,-13.226529408685785,-8.965245788357015,-8.977915830660095
5,0.0,-13.226529408685785,-10.897582219570623,-10.925734353280047
6,5.0,-13.226529408685785,-12.178890634198593,-12.165533763966504
7,10.0,-13.226529408685785,-12.905236198633164,-12.896626530021763
8,15.0,-13.226529408685785,-13.164726698530059,-13.166907352081466
9,20.0,-13.226529408685785,-13.334841929489382,-13.33391961402606
