,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-7.401222452000797,6.50005478942023,6.497980858550484
1,-20.0,-7.401222452000797,4.0021528666298085,4.011409633481414
2,-15.0,-7.401222452000797,1.5352062229563317,1.52447821412547
3,-10.0,-7.401222452000797,-0.8807593758976746,-0.8949164680500199
4,-5.0,-7.401222452000797,-3.1458957688305533,-3.1696274548818155
5,0.0,-7.401222452000797,-5.082258356607818,-5.076586079199981
6,5.0,-7.401222452000797,-6.489452672949846,-6.493035424313724
7,10.0,-7.401222452000797,-6.961428323007618,-6.96170201082383
8,15.0,-7.401222452000797,-7.2214651376707195,-7.21551822550545
9,20.0,-7.401222452000797,-7.462925628676715,-7.4642614970517664
