,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-30.0,-14.81952256108806,2.2183899655317467,2.230187537104122
1,-27.142857142857142,-14.81952256108806,0.7690656374849052,0.7974997593115717
2,-24.285714285714285,-14.81952256108806,-0.6436306082265547,-0.6314583773789786
3,-21.42857142857143,-14.81952256108806,-2.060914992575503,-2.0609608482750237
4,-18.57142857142857,-14.81952256108806,-3.472124284377502,-3.4674102596135064
5,-15.714285714285714,-14.81952256108806,-4.880914611342012,-4.870258308970861
6,-12.857142857142858,-14.81952256108806,-6.302844279658517,-6.2726742818209855
7,-10.0,-14.81952256108806,-7.642885785918068,-7.6476693748016285
8,-7.142857142857142,-14.81952256108806,-8.995333481431175,-8.977501504528938
9,-4.285714285714285,-14.81952256108806,-10.244011158627169,-10.26781053971865
10,-1.428571428571427,-14.81952256108806,-11.408973257262895,-11.396999624428577
11,1.4285714285714306,-14.81952256108806,-12.368320039131952,-12.341316895406022
12,4.285714285714285,-14.81952256108806,-13.234097432067149,-13.21799452331337
13,7.142857142857146,-14.81952256108806,-13.867895370562731,-13.88488450193967
14,10.0,-14.81952256108806,-14.285627231188489,-14.273338263110919
